osm_id,name
n1028723825,"{""cs"": ""Oblučje"", ""de"": ""Obluche"", ""en"": ""Obluchye"", ""es"": ""Obluchye"", ""fr"": ""Obloutchie"", ""ja"": ""オブルチエ"", ""ko"": ""오블루치예"", ""pl"": ""Obluczje"", ""ru"": ""Облучье"", ""th"": ""โอบลูชเย"", ""tr"": ""Obluchye"", ""vi"": ""Obluchye"", ""es_AR"": ""Obluchye"", ""zh_TW"": ""奧布盧奇耶""}"
n1028723854,"{""cs"": ""Sorsk"", ""de"": ""Sorsk"", ""en"": ""Sorsk"", ""es"": ""Sorsk"", ""fr"": ""Sorsk"", ""pl"": ""Sorsk"", ""ru"": ""Сорск"", ""tr"": ""Sorsk"", ""es_AR"": ""Sorsk""}"
n1028723862,"{""cs"": ""Rajčichinsk"", ""de"": ""Raychikhinsk"", ""en"": ""Raychikhinsk"", ""es"": ""Raychikhinsk"", ""fr"": ""Raychikhinsk"", ""ja"": ""ライチヒンスク"", ""ko"": ""라이치힌스크"", ""pl"": ""Rajczichińsk"", ""ru"": ""Райчихинск"", ""th"": ""เรย์ชิคคินซ์"", ""tr"": ""Raychikhinsk"", ""vi"": ""Raychikhinsk"", ""es_AR"": ""Raychikhinsk"", ""zh_TW"": ""賴奇欣斯克""}"
n1028723871,"{""cs"": ""Borogontsy"", ""de"": ""Borogontsy"", ""en"": ""Borogontsy"", ""es"": ""Borogontsy"", ""fr"": ""Borogontsy"", ""pl"": ""Borogontsy"", ""ru"": ""Борогонцы"", ""tr"": ""Borogontsy"", ""es_AR"": ""Borogontsy""}"
n1028723888,"{""ru"": ""Серышево""}"
n1028723901,"{""cs"": ""Duldurga"", ""de"": ""Duldurga"", ""en"": ""Duldurga"", ""es"": ""Duldurga"", ""fr"": ""Duldurga"", ""ja"": ""ドゥリドゥルガ"", ""ko"": ""둘두르가"", ""pl"": ""Dułdurga"", ""ru"": ""Дульдурга"", ""th"": ""ดุลเดอร์กา"", ""tr"": ""Duldurga"", ""vi"": ""Duldurga"", ""es_AR"": ""Duldurga"", ""zh_TW"": ""杜利杜爾加""}"
n1028723907,"{""ru"": ""Приаргунск""}"
n1028723919,"{""en"": ""Bazarnyy Syzgan"", ""ru"": ""Базарный Сызган""}"
n1028723933,"{""cs"": ""Shelopugino"", ""de"": ""Shelopugino"", ""en"": ""Shelopugino"", ""es"": ""Shelopugino"", ""fr"": ""Shelopugino"", ""ja"": ""シェロプギノ"", ""ko"": ""셸로푸기노"", ""pl"": ""Shelopugino"", ""ru"": ""Шелопугино"", ""th"": ""เชโลปูจิโน"", ""tr"": ""Shelopugino"", ""vi"": ""Shelopugino"", ""es_AR"": ""Shelopugino"", ""zh_TW"": ""舍洛普吉諾""}"
n1028724019,"{""cs"": ""Čurapča"", ""de"": ""Churapcha"", ""en"": ""Churapcha"", ""es"": ""Churapcha"", ""fr"": ""Churapcha"", ""pl"": ""Czurapcza"", ""ru"": ""Чурапча"", ""tr"": ""Churapcha"", ""es_AR"": ""Churapcha""}"
n1028724026,"{""en"": ""Perelyub"", ""ru"": ""Перелюб""}"
n1028724036,"{""cs"": ""Solněčnyj"", ""de"": ""Solnetschny"", ""en"": ""Solnechny"", ""es"": ""Solnechnyy"", ""fr"": ""Solnechny"", ""ja"": ""ソルネチニー"", ""ko"": ""솔네치니"", ""pl"": ""Solnecznyj"", ""ru"": ""Солнечный"", ""th"": ""โซลเนชนี"", ""tr"": ""Solnechnyy"", ""vi"": ""Solnechny"", ""es_AR"": ""Solnechnyy"", ""zh_TW"": ""索爾涅奇尼""}"
n1028724052,"{""cs"": ""Tambovka"", ""de"": ""Tambovka"", ""en"": ""Tambovka"", ""es"": ""Tambovka"", ""fr"": ""Tambovka"", ""ja"": ""タムボフカ"", ""ko"": ""탐봅카"", ""pl"": ""Tambowka"", ""ru"": ""Тамбовка"", ""th"": ""ทามบอฟกา"", ""tr"": ""Tambovka"", ""vi"": ""Tambovka"", ""es_AR"": ""Tambovka"", ""zh_TW"": ""塔姆波夫卡""}"
n1028724063,"{""cs"": ""Tarnogsky Gorodok"", ""de"": ""Tarnogsky Gorodok"", ""en"": ""Tarnogsky Gorodok"", ""es"": ""Tarnogsky Gorodok"", ""fr"": ""Tarnogsky Gorodok"", ""pl"": ""Tarnogskij Gorodok"", ""ru"": ""Тарногский Городок"", ""tr"": ""Tarnogsky Gorodok"", ""es_AR"": ""Tarnogsky Gorodok""}"
n1028724090,"{""ru"": ""Красногорское""}"
